mesh,bounding,surface
0,0.97,0.9
1,0.93,0.88
2,1.0,0.98
3,1.0,0.98
4,0.97,0.93
5,0.99,0.93
6,0.95,0.85
7,0.97,0.96
8,0.92,0.76
9,0.9,0.69
10,0.93,0.78
11,1.0,0.97
12,1.0,0.97
13,0.99,0.96
14,1.0,0.95
15,0.97,0.91
16,0.96,0.91
17,0.98,0.95
18,0.99,0.93
19,0.97,0.94
20,0.96,0.91
21,1.0,0.96
22,1.0,0.98
23,1.0,0.98
24,1.0,0.95
25,0.99,0.96
26,0.99,0.94
27,0.99,0.95
28,0.98,0.94
29,1.0,0.96
30,1.0,0.98
31,0.98,0.96
32,0.99,0.96
33,0.99,0.93
34,0.99,0.98
35,0.97,0.95
36,0.96,0.89
37,1.0,0.97
38,0.99,0.98
39,0.98,0.94
40,0.99,0.97
41,0.99,0.95
42,1.0,0.97
43,0.97,0.92
44,0.97,0.98
45,0.99,0.97
46,0.98,0.94
47,1.0,0.97
48,0.99,0.94
49,0.98,0.97
